prompt_id,case_id,arm,condition,subset,qwen36_tokens
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1949
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1997
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1918
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1312
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1265
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1402
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1449
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1106
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,1059
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1219
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1266
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,901
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,854
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,977
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1024
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,652
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mismatched,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1008
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,983
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,936
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1083
controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1130
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,1740
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,1692
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1846
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1894
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1815
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1493
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1446
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1583
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1630
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1092
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,1045
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1205
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1252
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,929
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,882
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,1005
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1052
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,652
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mismatched,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1036
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|direction_only,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,988
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|hidden,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,941
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1088
controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism_direction,controlled__sp_hypertext2009__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1135
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,1335
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,1287
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1441
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1489
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1410
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1286
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1239
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1376
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1423
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1038
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,991
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1151
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1198
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,873
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,826
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,949
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,996
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800|mismatched,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,980
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,907
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,860
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1007
controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.15__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1054
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,1485
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,1437
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1591
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,1639
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600|mismatched,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,1560
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1096
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1049
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1186
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1233
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,1034
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,987
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1147
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1194
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,878
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,831
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,954
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1001
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|metadata_only,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800|mismatched,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,985
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|direction_only,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,direction_only,factorial,949
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|hidden,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,hidden,factorial,902
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1049
controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800|mechanism_direction,controlled__sp_primaryschool__bursty__contiguous__rho0.55__r0|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1096
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600|direction_only,dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,2352
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600|hidden,dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,2304
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600|mechanism,dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,2458
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600|mechanism_direction,dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism_direction,factorial,2506
dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600|mismatched,dar__dcsbm__n1500__f0__a0.1__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mismatched,mismatched,2427
dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500|direction_only,dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500,node_panel_full_history,direction_only,factorial,1672
dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500|hidden,dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500,node_panel_full_history,hidden,factorial,1625
dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500|mechanism,dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism,factorial,1762
dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500|mechanism_direction,dar__dcsbm__n1500__f0__a0.1__c0.15|node_panel_full_history|ss0|b2500,node_panel_full_history,mechanism_direction,factorial,1809
dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800|direction_only,dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800,recent_history_k20,direction_only,factorial,969
dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800|hidden,dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800,recent_history_k20,hidden,factorial,922
dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800|mechanism,dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800,recent_history_k20,mechanism,factorial,1082
dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800|mechanism_direction,dar__dcsbm__n1500__f0__a0.1__c0.15|recent_history_k20|ws0|b800,recent_history_k20,mechanism_direction,factorial,1129
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800|direction_only,dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,direction_only,factorial,975
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800|hidden,dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,hidden,factorial,928
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800|mechanism,dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism,factorial,1051
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800|mechanism_direction,dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,mechanism_direction,factorial,1098
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800|metadata_only,dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,metadata_only,metadata_only,653
dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800|mismatched,dar__dcsbm__n1500__f0__a0.1__c0.15|time_agnostic_t|ws0|b800,time_agnostic_t,mismatched,mismatched,1082
dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800|direction_only,dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800,time_respecting,direction_only,factorial,912
dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800|hidden,dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800,time_respecting,hidden,factorial,865
dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800|mechanism,dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800,time_respecting,mechanism,factorial,1012
dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800|mechanism_direction,dar__dcsbm__n1500__f0__a0.1__c0.15|time_respecting|ws0|b800,time_respecting,mechanism_direction,factorial,1059
dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600|direction_only,dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,direction_only,factorial,1469
dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600|hidden,dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,hidden,factorial,1421
dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600|mechanism,dar__dcsbm__n1500__f0__a0.9__c0.15|event_sample_then_full_history|ss0|b9600,event_sample_then_full_history,mechanism,factorial,1575
